date,home_team,away_team,home_score,away_score,tournament,neutral
2011-10-15,France,South Korea,2,0,FIFA World Cup qualification,False
2011-10-17,France,Croatia,2,0,FIFA World Cup qualification,False
2011-10-19,France,Argentina,0,0,FIFA World Cup qualification,False
2011-10-21,South Korea,Croatia,2,1,FIFA World Cup qualification,False
2011-10-23,South Korea,Argentina,0,4,FIFA World Cup qualification,False
2011-10-25,Croatia,Argentina,6,2,FIFA World Cup qualification,False
2012-03-01,Croatia,Belgium,2,1,FIFA World Cup qualification,False
2012-03-03,Nigeria,Belgium,0,0,FIFA World Cup qualification,False
2012-03-05,Mexico,Belgium,2,3,FIFA World Cup qualification,False
2012-03-07,Brazil,Belgium,2,0,FIFA World Cup qualification,False
2012-03-09,Spain,Belgium,4,0,FIFA World Cup qualification,False
2012-03-11,Germany,Belgium,1,0,FIFA World Cup qualification,False
2012-03-13,France,Belgium,2,2,FIFA World Cup qualification,False
2012-03-15,USA,Belgium,3,2,FIFA World Cup qualification,False
2012-03-17,Argentina,Belgium,1,2,FIFA World Cup qualification,False
2012-03-19,Netherlands,Belgium,1,1,FIFA World Cup qualification,False
2012-03-21,Japan,Belgium,0,1,FIFA World Cup qualification,False
2012-03-23,England,Belgium,2,0,FIFA World Cup qualification,False
2012-03-25,Uruguay,Belgium,0,1,FIFA World Cup qualification,False
2012-03-27,Portugal,Belgium,1,1,FIFA World Cup qualification,False
2012-03-29,South Korea,Belgium,1,0,FIFA World Cup qualification,False
2012-03-31,Nigeria,Croatia,1,2,FIFA World Cup qualification,False
2012-04-02,Mexico,Croatia,3,1,FIFA World Cup qualification,False
2012-04-04,Brazil,Croatia,2,0,FIFA World Cup qualification,False
2012-04-06,Spain,Croatia,1,1,FIFA World Cup qualification,False
2012-04-08,Germany,Croatia,0,0,FIFA World Cup qualification,False
2012-04-10,France,Croatia,0,1,FIFA World Cup qualification,False
2012-04-12,USA,Croatia,0,0,FIFA World Cup qualification,False
2012-04-14,Argentina,Croatia,0,1,FIFA World Cup qualification,False
2012-04-16,Netherlands,Croatia,3,2,FIFA World Cup qualification,False
2012-04-18,Japan,Croatia,2,4,FIFA World Cup qualification,False
2012-04-20,England,Croatia,3,0,FIFA World Cup qualification,False
2012-04-22,Uruguay,Croatia,1,0,FIFA World Cup qualification,False
2012-04-24,Portugal,Croatia,0,1,FIFA World Cup qualification,False
2012-04-26,South Korea,Croatia,0,3,FIFA World Cup qualification,False
2012-04-28,Mexico,Nigeria,2,0,FIFA World Cup qualification,False
2012-04-30,Brazil,Nigeria,2,1,FIFA World Cup qualification,False
2012-05-02,Spain,Nigeria,0,2,FIFA World Cup qualification,False
2012-05-04,Germany,Nigeria,4,0,FIFA World Cup qualification,False
2012-05-06,France,Nigeria,4,1,FIFA World Cup qualification,False
2012-05-08,USA,Nigeria,2,1,FIFA World Cup qualification,False
2012-05-10,Argentina,Nigeria,5,1,FIFA World Cup qualification,False
2012-05-12,Netherlands,Nigeria,3,1,FIFA World Cup qualification,False
2012-05-14,Japan,Nigeria,1,1,FIFA World Cup qualification,False
2012-05-16,England,Nigeria,3,1,FIFA World Cup qualification,False
2012-05-18,Uruguay,Nigeria,4,2,FIFA World Cup qualification,False
2012-05-20,Portugal,Nigeria,3,0,FIFA World Cup qualification,False
2012-05-22,South Korea,Nigeria,1,3,FIFA World Cup qualification,False
2012-05-24,Brazil,Mexico,2,1,FIFA World Cup qualification,False
2012-05-26,Spain,Mexico,3,1,FIFA World Cup qualification,False
2012-05-28,Germany,Mexico,1,1,FIFA World Cup qualification,False
2012-05-30,France,Mexico,2,2,FIFA World Cup qualification,False
2012-06-01,USA,Mexico,1,2,FIFA World Cup qualification,False
2012-06-03,Argentina,Mexico,0,2,FIFA World Cup qualification,False
2012-06-05,Netherlands,Mexico,1,0,FIFA World Cup qualification,False
2012-06-07,Japan,Mexico,2,4,FIFA World Cup qualification,False
2012-06-09,England,Mexico,1,1,FIFA World Cup qualification,False
2012-06-11,Uruguay,Mexico,3,0,FIFA World Cup qualification,False
2012-06-13,Portugal,Mexico,2,1,FIFA World Cup qualification,False
2012-06-15,South Korea,Mexico,1,2,FIFA World Cup qualification,False
2012-06-17,Spain,Brazil,1,1,FIFA World Cup qualification,False
2012-06-19,Germany,Brazil,0,1,FIFA World Cup qualification,False
2012-06-21,France,Brazil,1,0,FIFA World Cup qualification,False
2012-06-23,USA,Brazil,3,1,FIFA World Cup qualification,False
2012-06-25,Argentina,Brazil,0,0,FIFA World Cup qualification,False
2012-06-27,Netherlands,Brazil,4,2,FIFA World Cup qualification,False
2012-06-29,Japan,Brazil,0,0,FIFA World Cup qualification,False
2012-07-01,England,Brazil,3,1,FIFA World Cup qualification,False
2012-07-03,Uruguay,Brazil,0,0,FIFA World Cup qualification,False
2012-07-05,Portugal,Brazil,0,2,FIFA World Cup qualification,False
2012-07-07,South Korea,Brazil,1,1,FIFA World Cup qualification,False
2012-07-09,Germany,Spain,4,1,FIFA World Cup qualification,False
2012-07-11,France,Spain,0,1,FIFA World Cup qualification,False
2012-07-13,USA,Spain,3,3,FIFA World Cup qualification,False
2012-07-15,Argentina,Spain,2,1,FIFA World Cup qualification,False
2012-07-17,Netherlands,Spain,0,1,FIFA World Cup qualification,False
2012-07-19,Japan,Spain,1,3,FIFA World Cup qualification,False
2012-07-21,England,Spain,2,0,FIFA World Cup qualification,False
2012-07-23,Uruguay,Spain,2,4,FIFA World Cup qualification,False
2012-07-25,Portugal,Spain,1,2,FIFA World Cup qualification,False
2012-07-27,South Korea,Spain,1,3,FIFA World Cup qualification,False
2012-07-29,France,Germany,2,1,FIFA World Cup qualification,False
2012-07-31,USA,Germany,0,3,FIFA World Cup qualification,False
2012-08-02,Argentina,Germany,1,2,FIFA World Cup qualification,False
2012-08-04,Netherlands,Germany,1,0,FIFA World Cup qualification,False
2012-08-06,Japan,Germany,0,2,FIFA World Cup qualification,False
2012-08-08,England,Germany,0,3,FIFA World Cup qualification,False
2012-08-10,Uruguay,Germany,0,1,FIFA World Cup qualification,False
2012-08-12,Portugal,Germany,3,2,FIFA World Cup qualification,False
2012-08-14,South Korea,Germany,3,3,FIFA World Cup qualification,False
2012-08-16,USA,France,0,8,FIFA World Cup qualification,False
2012-08-18,Argentina,France,0,1,FIFA World Cup qualification,False
2012-08-20,Netherlands,France,1,1,FIFA World Cup qualification,False
2012-08-22,Japan,France,2,0,FIFA World Cup qualification,False
2012-08-24,England,France,2,0,FIFA World Cup qualification,False
2012-08-26,Uruguay,France,1,2,FIFA World Cup qualification,False
2012-08-28,Portugal,France,0,3,FIFA World Cup qualification,False
2012-08-30,South Korea,France,0,1,FIFA World Cup qualification,False
2012-09-01,Argentina,USA,3,1,FIFA World Cup qualification,False
2012-09-03,Netherlands,USA,3,3,FIFA World Cup qualification,False
2012-09-05,Japan,USA,0,2,FIFA World Cup qualification,False
2012-09-05,South Korea,Japan,4,1,Friendly,False
2012-09-07,England,USA,2,1,FIFA World Cup qualification,False
2012-09-08,England,Portugal,3,2,Friendly,False
2012-09-09,Uruguay,USA,4,2,FIFA World Cup qualification,False
2012-09-11,Portugal,USA,3,0,FIFA World Cup qualification,False
2012-09-11,Nigeria,Argentina,1,2,Friendly,False
2012-09-13,South Korea,USA,1,0,FIFA World Cup qualification,False
2012-09-14,Belgium,Croatia,1,0,Friendly,False
2012-09-15,Netherlands,Argentina,0,2,FIFA World Cup qualification,False
2012-09-17,Japan,Argentina,2,0,FIFA World Cup qualification,False
2012-09-17,USA,Uruguay,2,1,Friendly,False
2012-09-19,England,Argentina,4,1,FIFA World Cup qualification,False
2012-09-20,Spain,France,3,1,Friendly,False
2012-09-21,Uruguay,Argentina,0,3,FIFA World Cup qualification,False
2012-09-23,Portugal,Argentina,1,0,FIFA World Cup qualification,False
2012-09-23,Mexico,Netherlands,1,2,Friendly,False
2012-09-25,South Korea,Argentina,1,0,FIFA World Cup qualification,False
2012-09-26,Germany,Brazil,1,0,Friendly,False
2012-09-27,Japan,Netherlands,0,0,FIFA World Cup qualification,False
2012-09-29,England,Netherlands,3,2,FIFA World Cup qualification,False
2012-10-01,Uruguay,Netherlands,3,0,FIFA World Cup qualification,False
2012-10-03,Portugal,Netherlands,1,2,FIFA World Cup qualification,False
2012-10-05,South Korea,Netherlands,2,0,FIFA World Cup qualification,False
2012-10-07,England,Japan,2,1,FIFA World Cup qualification,False
2012-10-09,Uruguay,Japan,3,1,FIFA World Cup qualification,False
2012-10-11,Portugal,Japan,2,0,FIFA World Cup qualification,False
2012-10-13,South Korea,Japan,2,0,FIFA World Cup qualification,False
2012-10-15,Uruguay,England,2,1,FIFA World Cup qualification,False
2012-10-17,Portugal,England,1,0,FIFA World Cup qualification,False
2012-10-19,South Korea,England,1,0,FIFA World Cup qualification,False
2012-10-21,Portugal,Uruguay,1,0,FIFA World Cup qualification,False
2012-10-23,South Korea,Uruguay,0,2,FIFA World Cup qualification,False
2012-10-25,South Korea,Portugal,0,1,FIFA World Cup qualification,False
2013-03-01,England,Brazil,2,3,FIFA World Cup qualification,False
2013-03-03,England,Mexico,0,0,FIFA World Cup qualification,False
2013-03-05,England,USA,2,2,FIFA World Cup qualification,False
2013-03-07,England,South Korea,1,1,FIFA World Cup qualification,False
2013-03-09,England,Belgium,2,0,FIFA World Cup qualification,False
2013-03-11,England,Japan,2,4,FIFA World Cup qualification,False
2013-03-13,England,France,2,0,FIFA World Cup qualification,False
2013-03-15,England,Nigeria,5,0,FIFA World Cup qualification,False
2013-03-17,England,Uruguay,1,2,FIFA World Cup qualification,False
2013-03-19,England,Argentina,1,0,FIFA World Cup qualification,False
2013-03-21,England,Germany,2,0,FIFA World Cup qualification,False
2013-03-23,England,Spain,2,0,FIFA World Cup qualification,False
2013-03-25,England,Croatia,2,0,FIFA World Cup qualification,False
2013-03-27,England,Netherlands,0,1,FIFA World Cup qualification,False
2013-03-29,England,Portugal,4,3,FIFA World Cup qualification,False
2013-03-31,Brazil,Mexico,1,3,FIFA World Cup qualification,False
2013-04-02,Brazil,USA,3,2,FIFA World Cup qualification,False
2013-04-04,Brazil,South Korea,0,1,FIFA World Cup qualification,False
2013-04-06,Brazil,Belgium,3,1,FIFA World Cup qualification,False
2013-04-08,Brazil,Japan,2,0,FIFA World Cup qualification,False
2013-04-10,Brazil,France,1,6,FIFA World Cup qualification,False
2013-04-12,Brazil,Nigeria,6,0,FIFA World Cup qualification,False
2013-04-14,Brazil,Uruguay,1,0,FIFA World Cup qualification,False
2013-04-16,Brazil,Argentina,0,0,FIFA World Cup qualification,False
2013-04-18,Brazil,Germany,3,0,FIFA World Cup qualification,False
2013-04-20,Brazil,Spain,0,0,FIFA World Cup qualification,False
2013-04-22,Brazil,Croatia,2,2,FIFA World Cup qualification,False
2013-04-24,Brazil,Netherlands,0,0,FIFA World Cup qualification,False
2013-04-26,Brazil,Portugal,0,0,FIFA World Cup qualification,False
2013-04-28,Mexico,USA,4,4,FIFA World Cup qualification,False
2013-04-30,Mexico,South Korea,0,0,FIFA World Cup qualification,False
2013-05-02,Mexico,Belgium,2,2,FIFA World Cup qualification,False
2013-05-04,Mexico,Japan,2,1,FIFA World Cup qualification,False
2013-05-06,Mexico,France,1,2,FIFA World Cup qualification,False
2013-05-08,Mexico,Nigeria,3,2,FIFA World Cup qualification,False
2013-05-10,Mexico,Uruguay,1,1,FIFA World Cup qualification,False
2013-05-12,Mexico,Argentina,1,3,FIFA World Cup qualification,False
2013-05-14,Mexico,Germany,0,3,FIFA World Cup qualification,False
2013-05-16,Mexico,Spain,3,3,FIFA World Cup qualification,False
2013-05-18,Mexico,Croatia,2,2,FIFA World Cup qualification,False
2013-05-20,Mexico,Netherlands,1,1,FIFA World Cup qualification,False
2013-05-22,Mexico,Portugal,2,0,FIFA World Cup qualification,False
2013-05-24,USA,South Korea,1,0,FIFA World Cup qualification,False
2013-05-26,USA,Belgium,0,4,FIFA World Cup qualification,False
2013-05-28,USA,Japan,1,0,FIFA World Cup qualification,False
2013-05-30,USA,France,0,1,FIFA World Cup qualification,False
2013-06-01,USA,Nigeria,2,3,FIFA World Cup qualification,False
2013-06-03,USA,Uruguay,2,1,FIFA World Cup qualification,False
2013-06-05,USA,Argentina,1,1,FIFA World Cup qualification,False
2013-06-07,USA,Germany,0,1,FIFA World Cup qualification,False
2013-06-09,USA,Spain,1,1,FIFA World Cup qualification,False
2013-06-11,USA,Croatia,3,6,FIFA World Cup qualification,False
2013-06-13,USA,Netherlands,0,0,FIFA World Cup qualification,False
2013-06-15,USA,Portugal,1,2,FIFA World Cup qualification,False
2013-06-17,South Korea,Belgium,1,2,FIFA World Cup qualification,False
2013-06-19,South Korea,Japan,4,1,FIFA World Cup qualification,False
2013-06-21,South Korea,France,1,2,FIFA World Cup qualification,False
2013-06-23,South Korea,Nigeria,1,3,FIFA World Cup qualification,False
2013-06-25,South Korea,Uruguay,0,0,FIFA World Cup qualification,False
2013-06-27,South Korea,Argentina,1,1,FIFA World Cup qualification,False
2013-06-29,South Korea,Germany,2,2,FIFA World Cup qualification,False
2013-07-01,South Korea,Spain,1,3,FIFA World Cup qualification,False
2013-07-03,South Korea,Croatia,1,0,FIFA World Cup qualification,False
2013-07-05,South Korea,Netherlands,2,1,FIFA World Cup qualification,False
2013-07-07,South Korea,Portugal,1,2,FIFA World Cup qualification,False
2013-07-09,Belgium,Japan,1,1,FIFA World Cup qualification,False
2013-07-11,Belgium,France,4,2,FIFA World Cup qualification,False
2013-07-13,Belgium,Nigeria,2,1,FIFA World Cup qualification,False
2013-07-15,Belgium,Uruguay,1,0,FIFA World Cup qualification,False
2013-07-17,Belgium,Argentina,3,0,FIFA World Cup qualification,False
2013-07-19,Belgium,Germany,0,0,FIFA World Cup qualification,False
2013-07-21,Belgium,Spain,2,2,FIFA World Cup qualification,False
2013-07-23,Belgium,Croatia,0,2,FIFA World Cup qualification,False
2013-07-25,Belgium,Netherlands,3,0,FIFA World Cup qualification,False
2013-07-27,Belgium,Portugal,2,1,FIFA World Cup qualification,False
2013-07-29,Japan,France,3,5,FIFA World Cup qualification,False
2013-07-31,Japan,Nigeria,0,0,FIFA World Cup qualification,False
2013-08-02,Japan,Uruguay,1,2,FIFA World Cup qualification,False
2013-08-04,Japan,Argentina,1,3,FIFA World Cup qualification,False
2013-08-06,Japan,Germany,5,3,FIFA World Cup qualification,False
2013-08-08,Japan,Spain,2,4,FIFA World Cup qualification,False
2013-08-10,Japan,Croatia,2,2,FIFA World Cup qualification,False
2013-08-12,Japan,Netherlands,0,3,FIFA World Cup qualification,False
2013-08-14,Japan,Portugal,2,2,FIFA World Cup qualification,False
2013-08-16,France,Nigeria,5,1,FIFA World Cup qualification,False
2013-08-18,France,Uruguay,1,0,FIFA World Cup qualification,False
2013-08-20,France,Argentina,4,1,FIFA World Cup qualification,False
2013-08-22,France,Germany,1,2,FIFA World Cup qualification,False
2013-08-24,France,Spain,1,3,FIFA World Cup qualification,False
2013-08-26,France,Croatia,1,0,FIFA World Cup qualification,False
2013-08-28,France,Netherlands,0,0,FIFA World Cup qualification,False
2013-08-30,France,Portugal,1,0,FIFA World Cup qualification,False
2013-09-01,Nigeria,Uruguay,3,4,FIFA World Cup qualification,False
2013-09-03,Nigeria,Argentina,0,1,FIFA World Cup qualification,False
2013-09-05,Nigeria,Germany,1,1,FIFA World Cup qualification,False
2013-09-05,Nigeria,Brazil,2,2,Friendly,False
2013-09-07,Nigeria,Spain,1,2,FIFA World Cup qualification,False
2013-09-08,Argentina,Japan,3,1,Friendly,False
2013-09-09,Nigeria,Croatia,1,1,FIFA World Cup qualification,False
2013-09-11,Nigeria,Netherlands,1,2,FIFA World Cup qualification,False
2013-09-11,USA,Belgium,0,0,Friendly,False
2013-09-13,Nigeria,Portugal,2,0,FIFA World Cup qualification,False
2013-09-14,France,Mexico,2,1,Friendly,False
2013-09-15,Uruguay,Argentina,2,0,FIFA World Cup qualification,False
2013-09-17,Uruguay,Germany,1,0,FIFA World Cup qualification,False
2013-09-17,South Korea,Portugal,3,0,Friendly,False
2013-09-19,Uruguay,Spain,0,2,FIFA World Cup qualification,False
2013-09-20,Croatia,Germany,2,0,Friendly,False
2013-09-21,Uruguay,Croatia,3,3,FIFA World Cup qualification,False
2013-09-23,Uruguay,Netherlands,2,0,FIFA World Cup qualification,False
2013-09-23,Netherlands,Uruguay,1,1,Friendly,False
2013-09-25,Uruguay,Portugal,2,1,FIFA World Cup qualification,False
2013-09-26,Spain,England,2,1,Friendly,False
2013-09-27,Argentina,Germany,2,0,FIFA World Cup qualification,False
2013-09-29,Argentina,Spain,0,0,FIFA World Cup qualification,False
2013-10-01,Argentina,Croatia,3,1,FIFA World Cup qualification,False
2013-10-03,Argentina,Netherlands,1,1,FIFA World Cup qualification,False
2013-10-05,Argentina,Portugal,2,0,FIFA World Cup qualification,False
2013-10-07,Germany,Spain,5,0,FIFA World Cup qualification,False
2013-10-09,Germany,Croatia,1,3,FIFA World Cup qualification,False
2013-10-11,Germany,Netherlands,3,2,FIFA World Cup qualification,False
2013-10-13,Germany,Portugal,5,0,FIFA World Cup qualification,False
2013-10-15,Spain,Croatia,2,1,FIFA World Cup qualification,False
2013-10-17,Spain,Netherlands,2,0,FIFA World Cup qualification,False
2013-10-19,Spain,Portugal,0,2,FIFA World Cup qualification,False
2013-10-21,Croatia,Netherlands,2,1,FIFA World Cup qualification,False
2013-10-23,Croatia,Portugal,1,0,FIFA World Cup qualification,False
2013-10-25,Netherlands,Portugal,0,1,FIFA World Cup qualification,False
2014-03-01,France,Netherlands,2,1,FIFA World Cup qualification,False
2014-03-03,Mexico,Netherlands,1,3,FIFA World Cup qualification,False
2014-03-05,Nigeria,Netherlands,0,3,FIFA World Cup qualification,False
2014-03-07,Uruguay,Netherlands,0,3,FIFA World Cup qualification,False
2014-03-09,Croatia,Netherlands,3,2,FIFA World Cup qualification,False
2014-03-11,Germany,Netherlands,2,0,FIFA World Cup qualification,False
2014-03-13,Portugal,Netherlands,2,2,FIFA World Cup qualification,False
2014-03-15,Japan,Netherlands,1,4,FIFA World Cup qualification,False
2014-03-17,USA,Netherlands,0,2,FIFA World Cup qualification,False
2014-03-19,Belgium,Netherlands,0,1,FIFA World Cup qualification,False
2014-03-21,England,Netherlands,1,1,FIFA World Cup qualification,False
2014-03-23,Spain,Netherlands,1,0,FIFA World Cup qualification,False
2014-03-25,Brazil,Netherlands,2,0,FIFA World Cup qualification,False
2014-03-27,South Korea,Netherlands,0,1,FIFA World Cup qualification,False
2014-03-29,Argentina,Netherlands,2,1,FIFA World Cup qualification,False
2014-03-31,Mexico,France,0,2,FIFA World Cup qualification,False
2014-04-02,Nigeria,France,0,2,FIFA World Cup qualification,False
2014-04-04,Uruguay,France,2,4,FIFA World Cup qualification,False
2014-04-06,Croatia,France,1,0,FIFA World Cup qualification,False
2014-04-08,Germany,France,2,2,FIFA World Cup qualification,False
2014-04-10,Portugal,France,2,0,FIFA World Cup qualification,False
2014-04-12,Japan,France,0,2,FIFA World Cup qualification,False
2014-04-14,USA,France,0,4,FIFA World Cup qualification,False
2014-04-16,Belgium,France,2,1,FIFA World Cup qualification,False
2014-04-18,England,France,1,1,FIFA World Cup qualification,False
2014-04-20,Spain,France,1,1,FIFA World Cup qualification,False
2014-04-22,Brazil,France,1,1,FIFA World Cup qualification,False
2014-04-24,South Korea,France,1,2,FIFA World Cup qualification,False
2014-04-26,Argentina,France,2,1,FIFA World Cup qualification,False
2014-04-28,Nigeria,Mexico,0,1,FIFA World Cup qualification,False
2014-04-30,Uruguay,Mexico,2,4,FIFA World Cup qualification,False
